"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url","sentiment"
"xx156505461","xx1253715284344504320","24/04/2020 15:59","navardzM","serv tod men domicili","Twitter for iPhone",36,"xx1249049580278173696","xx53541127","littlecaesarsmx",FALSE,FALSE,0,0,,,"",,"","","","","","","","","","",,"xx53541127","littlecaesarsmx","es",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/navardzM/status/1253715284344504320","Miguel Rodriguez","San Luis Potosí, México","ing.industrial <U+0001F3ED> Biker <U+0001F6B4><U+0001F3FC><U+200D><U+2642><U+FE0F>","",FALSE,105,165,0,2295,4710,"17/06/2010 03:34",FALSE,"","",,"https://pbs.twimg.com/profile_banners/156505461/1586147108","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1254596257131061248/dM_tgKqm_normal.jpg","negative"
"xx1223505778939760640","xx1241813040259096581","22/03/2020 19:44","HFarhas","ni empiec mam anay dab vid ridicul","Twitter for Android",78,,,"",FALSE,FALSE,0,0,,,"AMLO",,"","","","","","","","","","",,,"","es",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/HFarhas/status/1241813040259096581","Hernan Farhas","Monterrey, Nuevo León","","",FALSE,30,282,0,26,13,"01/02/2020 07:18",FALSE,"","",,"https://pbs.twimg.com/profile_banners/1223505778939760640/1581208906","","http://pbs.twimg.com/profile_images/1223506188945543168/wlN76aIU_normal.jpg","negative"
"xx1155134751218397185","xx1242189370787901441","23/03/2020 20:39","Homero67533445","jaj rat sali ratoner jaj","Twitter for Android",48,"xx1242096627864739840","xx114346861","ferbelaunzaran",FALSE,FALSE,0,0,,,"",,"","","","","","","","","","",,"xx114346861 xx151968088","ferbelaunzaran RicardoAnayaC","es",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Homero67533445/status/1242189370787901441","Homero","Tecnológico, Monterrey","la honestidad","",FALSE,1,25,0,515,63,"27/07/2019 15:16",FALSE,"","",,"","","http://pbs.twimg.com/profile_images/1162338690670026752/D8YVyr82_normal.jpg","negative"
"xx1235301718822252544","xx1242165398809620480","23/03/2020 19:04","ChapuHastings","lacr te cre put madr ojet","Twitter for iPhone",39,"xx1241762951696191488","xx151968088","RicardoAnayaC",FALSE,FALSE,0,0,,,"",,"","","","","","","","","","",,"xx151968088","RicardoAnayaC","es",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ChapuHastings/status/1242165398809620480","MC. Jorge","Columbia Británica, Canadá","Bot auto exiliado x la violencia y corrupción generada x los fachos","",FALSE,47,146,0,274,803,"04/03/2020 20:31",FALSE,"","",,"https://pbs.twimg.com/profile_banners/1235301718822252544/1583544220","","http://pbs.twimg.com/profile_images/1239738138534088706/RHesOoLJ_normal.jpg","negative"
"xx323648053","xx1242151566192320514","23/03/2020 18:09","carlosthudor","patet","Twitter for iPhone",8,"xx1241869029654102018","xx565806024","forozcolg",FALSE,FALSE,0,0,,,"",,"","","","","","","","","","",,"xx565806024 xx151968088","forozcolg RicardoAnayaC","es",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/carlosthudor/status/1242151566192320514","Beto Mata","","","",FALSE,316,725,3,15860,12206,"25/06/2011 05:25",FALSE,"","",,"https://pbs.twimg.com/profile_banners/323648053/1465315432","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/782805659318312960/Ku7EwLBb_normal.jpg","negative"
"xx1112044721029947392","xx1242102056854355969","23/03/2020 14:53","Sanluca18516155","rat pelon puebl","Twitter for Android",40,"xx1242096387342434304","xx41156599","proceso",FALSE,FALSE,2,0,,,"",,"","","","","","","","","","",,"xx41156599 xx151968088","proceso RicardoAnayaC","es",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Sanluca18516155/status/1242102056854355969","cora zon","","","",FALSE,4,141,0,1158,274,"30/03/2019 17:31",FALSE,"","",,"","","http://pbs.twimg.com/profile_images/1183570425886007296/LXi9h1i__normal.jpg","negative"
"xx577262305","xx1242097243848683523","23/03/2020 14:33","Dimitri_Palermo","hij put rater madr consej","Twitter Web App",63,"xx1242096387342434304","xx41156599","proceso",FALSE,FALSE,0,0,,,"Borolavirus",,"","","","","","","","","","",,"xx41156599 xx151968088","proceso RicardoAnayaC","es",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Dimitri_Palermo/status/1242097243848683523","<U+0001F5E3><U+FE0F>Hacking.net<U+0001F44A>Caza<U+0001F4BB>Bots","San Fernando Tamaulipas","Trabajando En Los Dos Laredos. #RedAMLO","https://t.co/H0PkzmCoJP",FALSE,489,724,3,6237,27,"11/05/2012 16:10",FALSE,"https://t.co/H0PkzmCoJP","http://portalhakerusa.net",,"https://pbs.twimg.com/profile_banners/577262305/1574976926","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1239250680730320897/rP5WGHcf_normal.jpg","negative"
"xx1909499678","xx1242089762489421825","23/03/2020 14:04","ceaubero","mierd farsant hdp","Twitter for Android",43,"xx1241762951696191488","xx151968088","RicardoAnayaC",FALSE,FALSE,0,0,,,"",,"","","","","","","","","","",,"xx151968088","RicardoAnayaC","es",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ceaubero/status/1242089762489421825","Cesar Augusto Berra Rondero","México","Un Mexicano mas de entre todos con recuerdos y olvidos, humanista, huerfano, Pejechairo, marihuano y soltero.
Siempre del lado de los menos afortunados.","",FALSE,1146,2491,0,13295,16753,"26/09/2013 23:23",FALSE,"","",,"https://pbs.twimg.com/profile_banners/1909499678/1469479047","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/757676199678095360/F9dqFbVh_normal.jpg","negative"
"xx810110807652569088","xx1242076200593473537","23/03/2020 13:10","incomodocu","quit car pendej not romp plat","Twitter for iPhone",65,"xx1241762951696191488","xx151968088","RicardoAnayaC",FALSE,FALSE,0,0,,,"",,"","","","","","","","","","",,"xx151968088","RicardoAnayaC","es",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/incomodocu/status/1242076200593473537","Incomodo","México","Gobierno Gobierno","",FALSE,26,217,0,4676,1867,"17/12/2016 13:14",FALSE,"","",,"","","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","negative"
"xx3375352160","xx1241982406963474436","23/03/2020 06:57","iriamestrella","jaj mied perd hues pinch chup huev","Twitter for Android",54,"xx1241763865987174400","xx354117099","marcoseyde",FALSE,FALSE,0,0,,,"",,"","","","","","","","","","",,"xx354117099 xx151968088","marcoseyde RicardoAnayaC","es",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/iriamestrella/status/1241982406963474436","iriam","México DF","Yo lo único que quiero es viajar por el mundo y tener un perro que nunca se muera.","",FALSE,3478,4118,5,432,49,"28/08/2015 23:06",FALSE,"","",,"https://pbs.twimg.com/profile_banners/3375352160/1482281005","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/716386359812820992/X0EXRd81_normal.jpg","negative"
"xx772436468807577600","xx1241978219911405569","23/03/2020 06:40","beansalozada","ching madr ricky","Twitter for Android",22,"xx1241762951696191488","xx151968088","RicardoAnayaC",FALSE,FALSE,0,0,,,"",,"","","","","","","","","","",,"xx151968088","RicardoAnayaC","es",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/beansalozada/status/1241978219911405569","Fransalozada","Puebla, México","","",FALSE,24,92,0,1301,9235,"04/09/2016 14:09",FALSE,"","",,"","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/773192067849650176/cwbOd-NY_normal.jpg","negative"
"xx1228151205710270467","xx1241937382439620608","23/03/2020 03:58","Gilbert06468205","ching madr puerc","Twitter for Android",25,"xx1241762951696191488","xx151968088","RicardoAnayaC",FALSE,FALSE,0,0,,,"",,"","","","","","","","","","",,"xx151968088","RicardoAnayaC","es",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Gilbert06468205/status/1241937382439620608","Gilberto Jimenez","","workaholic","",FALSE,0,0,0,2,9,"14/02/2020 02:57",FALSE,"","",,"","","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","negative"
"xx32741440","xx1241927963702149120","23/03/2020 03:21","mmorales26tadeo","result preocup pen ajen","Twitter Web App",49,"xx1241762951696191488","xx151968088","RicardoAnayaC",FALSE,FALSE,0,0,,,"",,"","","","","","","","","","",,"xx151968088","RicardoAnayaC","es",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/mmorales26tadeo/status/1241927963702149120","manolo morales","","","",FALSE,30,259,0,370,218,"18/04/2009 02:35",FALSE,"","",,"","http://abs.twimg.com/images/themes/theme1/bg.png","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","negative"
"xx3394919243","xx1241925975216021504","23/03/2020 03:13","luisjuarez1488","sac raj polit vat buitr","Twitter for Android",43,"xx1241762951696191488","xx151968088","RicardoAnayaC",FALSE,FALSE,1,0,,,"",,"","","","","","","","","","",,"xx151968088","RicardoAnayaC","es",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/luisjuarez1488/status/1241925975216021504","El Inge","","","",FALSE,31,137,2,483,25,"30/07/2015 02:57",FALSE,"","",,"","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/963796258296160256/_Xm7e_Tl_normal.jpg","negative"
