user_id,status_id,created_at,text,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,quote_count,reply_count,hashtags,symbols,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,quoted_created_at,quoted_source,quoted_favorite_count,quoted_retweet_count,quoted_user_id,quoted_screen_name,quoted_followers_count,quoted_friends_count,quoted_statuses_count,quoted_location,quoted_description,quoted_verified,retweet_status_id,retweet_text,retweet_created_at,retweet_source,retweet_favorite_count,retweet_retweet_count,retweet_user_id,retweet_screen_name,retweet_name,retweet_followers_count,retweet_friends_count,retweet_statuses_count,retweet_location,retweet_description,retweet_verified,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,location,description,url,protected,followers_count,friends_count,listed_count,statuses_count,favourites_count,account_created_at,verified,profile_url,profile_expanded_url,account_lang,sentiment
x156505461,x1253715284344504320,24/04/2020 15:59,@littlecaesarsmx Servimos a todo menos a domicilio :(,Twitter for iPhone,36,x1249049580278173696,x53541127,littlecaesarsmx,FALSE,FALSE,0,0,,,,,,,,,,,,x53541127,littlecaesarsmx,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,"San Luis Potosí, México",ing.industrial <U+0001F3ED> Biker <U+0001F6B4><U+0001F3FC><U+200D><U+2642><U+FE0F>,,FALSE,105,165,0,2295,4710,17/06/2010 03:34,FALSE,,,,negative
x1223505778939760640,x1241813040259096581,22/03/2020 19:44,Ni empiecen a mamarsela a Anaya que hasta daban la vida por #AMLO Ridículos!!!,Twitter for Android,78,,,,FALSE,FALSE,0,0,,,AMLO,,,,,,,,,,,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,"Monterrey, Nuevo León",,,FALSE,30,282,0,26,13,01/02/2020 07:18,FALSE,,,,negative
x1155134751218397185,x1242189370787901441,23/03/2020 20:39,@ferbelaunzaran @RicardoAnayaC Jajajaja otro rata salió de la ratonera jajaja .,Twitter for Android,48,x1242096627864739840,x114346861,ferbelaunzaran,FALSE,FALSE,0,0,,,,,,,,,,,,x114346861 x151968088,ferbelaunzaran RicardoAnayaC,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,"Tecnológico, Monterrey",la honestidad,,FALSE,1,25,0,515,63,27/07/2019 15:16,FALSE,,,,negative
x1235301718822252544,x1242165398809620480,23/03/2020 19:04,"@RicardoAnayaC Lacra... k te crea tu Puta madre, ojete",Twitter for iPhone,39,x1241762951696191488,x151968088,RicardoAnayaC,FALSE,FALSE,0,0,,,,,,,,,,,,x151968088,RicardoAnayaC,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,"Columbia Británica, Canadá",Bot auto exiliado x la violencia y corrupción generada x los fachos,,FALSE,47,146,0,274,803,04/03/2020 20:31,FALSE,,,,negative
x323648053,x1242151566192320514,23/03/2020 18:09,@forozcolg @RicardoAnayaC Patético,Twitter for iPhone,8,x1241869029654102018,x565806024,forozcolg,FALSE,FALSE,0,0,,,,,,,,,,,,x565806024 x151968088,forozcolg RicardoAnayaC,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,,,,FALSE,316,725,3,15860,12206,25/06/2011 05:25,FALSE,,,,negative
x1112044721029947392,x1242102056854355969,23/03/2020 14:53,@proceso @RicardoAnayaC La rata pelona asi le dicen en su pueblo,Twitter for Android,40,x1242096387342434304,x41156599,proceso,FALSE,FALSE,2,0,,,,,,,,,,,,x41156599 x151968088,proceso RicardoAnayaC,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,,,,FALSE,4,141,0,1158,274,30/03/2019 17:31,FALSE,,,,negative
x577262305,x1242097243848683523,23/03/2020 14:33,"@proceso @RicardoAnayaC hijo de su puta ratera madre, ahora da consejos!!! #Borolavirus",Twitter Web App,63,x1242096387342434304,x41156599,proceso,FALSE,FALSE,0,0,,,Borolavirus,,,,,,,,,x41156599 x151968088,proceso RicardoAnayaC,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,San Fernando Tamaulipas,Trabajando En Los Dos Laredos. #RedAMLO,https://t.co/H0PkzmCoJP,FALSE,489,724,3,6237,27,11/05/2012 16:10,FALSE,https://t.co/H0PkzmCoJP,http://portalhakerusa.net,,negative
x1909499678,x1242089762489421825,23/03/2020 14:04,@RicardoAnayaC Qué se vaya a la mierda este farsante hdspm,Twitter for Android,43,x1241762951696191488,x151968088,RicardoAnayaC,FALSE,FALSE,0,0,,,,,,,,,,,,x151968088,RicardoAnayaC,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,México,"Un Mexicano mas de entre todos con recuerdos y olvidos, humanista, huerfano, Pejechairo, marihuano y soltero.
Siempre del lado de los menos afortunados.",,FALSE,1146,2491,0,13295,16753,26/09/2013 23:23,FALSE,,,,negative
x810110807652569088,x1242076200593473537,23/03/2020 13:10,"@RicardoAnayaC Por cierto, ya quita esa cara de pendejito que no rompe un plato.",Twitter for iPhone,65,x1241762951696191488,x151968088,RicardoAnayaC,FALSE,FALSE,0,0,,,,,,,,,,,,x151968088,RicardoAnayaC,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,México,Gobierno Gobierno,,FALSE,26,217,0,4676,1867,17/12/2016 13:14,FALSE,,,,negative
x3375352160,x1241982406963474436,23/03/2020 06:57,@marcoseyde @RicardoAnayaC Jaaja!. Miedo a perder tu hueso! Pinche chupa huevos!.,Twitter for Android,54,x1241763865987174400,x354117099,marcoseyde,FALSE,FALSE,0,0,,,,,,,,,,,,x354117099 x151968088,marcoseyde RicardoAnayaC,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,México DF,Yo lo único que quiero es viajar por el mundo y tener un perro que nunca se muera.,,FALSE,3478,4118,5,432,49,28/08/2015 23:06,FALSE,,,,negative
